1173,51174,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,0,4066155,2
1181,49440,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1348373,1
1181,49634,dscw80,0,0,0,2,2,4,5,5,6,8,8,8,9,9,9,9,9,9,9,9,9,11,11,13,14,14,14,0,11158054,14
1173,45169,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,11,13,14,14,14,0,49027377,14
1173,46091,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,128310,1
1173,47698,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,8,8,11,28,34,35,36,37,37,0,83985794,37
1181,44035,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,257807,1
1181,46626,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,166386,1
1173,38974,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,258425,1
1173,47733,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,5,5,7,7,7,7,7,0,38511474,7
1181,48590,dscw80,0,0,0,4,5,5,6,7,8,8,9,9,10,11,11,12,12,12,13,13,13,15,16,18,18,18,18,0,6059191,18
1173,43663,dscw80,0,0,0,0,0,0,0,3,11,30,48,66,84,93,106,116,132,140,148,156,163,210,228,237,245,248,249,1,720059353,250
1173,44737,dscw80,0,0,0,0,0,0,0,1,1,1,1,3,6,7,11,16,20,23,34,35,38,60,71,78,79,80,84,0,171357841,84
1173,46548,dscw80,0,0,0,0,0,0,0,2,4,5,5,5,7,9,9,9,9,10,13,13,13,17,18,18,18,18,18,0,81828761,18
1173,49634,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,5,5,7,8,10,11,11,11,0,28613984,11
1173,52978,dscw80,1,0,0,0,0,2,5,10,12,14,16,27,31,41,43,44,49,53,55,56,62,73,75,78,81,82,82,0,124801455,82
1181,51472,dscw80,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,4,8,11,16,18,20,22,0,10632327,22
1173,39272,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,6,7,7,7,1,5019777,8
1173,44035,dscw80,1,0,0,0,7,11,14,19,25,32,37,40,47,51,56,60,64,66,66,68,68,76,81,84,84,84,84,0,82930180,84
1173,46626,dscw80,1,0,0,0,0,1,2,3,4,4,5,5,9,12,14,17,18,22,26,27,30,35,35,37,37,37,37,0,48224881,37
1181,37241,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,4259739,1
1181,42617,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,9423549,2
1181,49257,dscw80,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3342921,1
1181,41187,dscw80,1,0,0,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,6263310,5
1181,51906,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,6,7,7,0,7510586,7
1173,44912,dscw80,0,0,0,0,0,1,1,3,4,7,12,19,25,31,39,42,46,50,58,62,62,89,106,123,128,131,133,1,318009578,134
1181,49634,dscw80,1,0,0,1,1,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,8979916,5
1173,45169,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,8,8,8,8,8,8,9,0,7668319,9
1173,47698,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,513342,2
1181,41409,dscw80,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,6,0,17612092,6
1173,51906,dscw80,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,5,6,7,8,9,16,19,22,25,27,29,0,49634059,29
1181,48590,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,0,2926541,3
1181,52590,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,191911,1
1173,43663,dscw80,1,0,0,0,0,0,0,4,10,12,15,16,17,17,19,20,21,21,21,21,21,21,21,21,21,21,21,0,21650332,21
1173,44737,dscw80,1,0,0,0,0,0,0,0,0,0,1,1,4,5,7,8,10,11,11,12,12,16,16,16,16,16,16,0,18521828,16
1173,44738,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,0,7898146,3
1173,46548,dscw80,1,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,331923,2
1173,49440,dscw80,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,11034370,2
1173,49634,dscw80,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,0,6735976,4
1173,50298,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,5,6,7,7,7,0,9645486,7
1181,41984,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7440580,1
1181,51174,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1261780,1
1181,51472,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,5,5,5,5,6,6,0,10532838,6
1181,53419,dscw80,0,1,8,49,115,285,519,750,939,1127,1245,1372,1484,1564,1626,1685,1739,1781,1814,1859,1893,2099,2181,2272,2307,2319,2338,9,7420694893,2347
1173,41409,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,7,8,8,8,8,8,0,32202080,8
1173,52590,dscw80,0,0,0,0,0,3,7,13,18,23,24,27,32,35,37,40,42,42,44,45,45,51,54,55,56,56,57,0,137953330,57
1181,38974,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,0,1842925,4
1181,49158,dscw80,0,0,0,8,17,27,35,45,59,67,75,78,83,90,92,94,94,99,101,103,109,121,124,139,146,148,150,0,400730603,150
1181,51906,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,257808,1
1181,53188,dscw80,0,0,0,9,34,58,78,99,118,131,144,151,159,163,170,174,176,178,183,186,188,209,217,230,234,237,242,0,533027044,242
1173,44912,dscw80,1,0,0,0,0,0,2,2,3,5,8,10,11,12,12,12,12,12,14,14,14,15,15,17,19,19,19,0,33575991,19
1173,51174,dscw80,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,4,6,6,7,7,7,7,7,7,0,16443356,7
1181,38580,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,0,515836,2
1173,49054,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,7,9,11,11,11,11,1,14390131,12
1181,41409,dscw80,1,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,15433282,3
1181,44035,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,873789,2
1181,46626,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,0,8298127,2
1173,51906,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,0,34929,2
1173,47632,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,257677,1
1173,52978,dscw80,0,0,0,0,1,9,29,48,67,92,110,147,179,220,256,292,321,345,370,396,408,510,570,614,645,661,682,3,1426529733,685
1181,53419,dscw80,1,8,35,65,138,312,444,542,620,691,739,777,808,827,843,855,869,873,876,880,885,913,925,929,932,933,934,3,2178469234,937
1173,39272,dscw80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,21,25,26,27,28,0,90620305,28
1173,41409,dscw80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,275795,2
1173,44035,dscw80,0,0,0,0,0,2,8,21,38,52,64,82,94,105,117,133,145,155,163,172,180,231,247,272,279,284,290,3,738269276,293
1173,46626,dscw80,0,0,0,0,0,0,0,0,6,11,21,31,37,48,59,70,85,94,107,119,133,173,203,217,220,224,226,1,527601087,227
1181,49257,dscw80,0,0,0,1,1,5,9,9,11,12,12,14,15,15,16,16,16,16,17,17,19,20,20,22,23,23,23,0,46269437,23
1173,50463,dscw80,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4631002,1
